city,latitude,longitude
"Macomb, IL",40.45993,-90.6717
Nora Springs,43.1427,-93.0081
Marion,42.0361,-91.58722
"Bentonville, AR",36.37187,-94.20272
Grimes,41.69031,-93.79106
Bedford,40.66706,-94.72142
Wapello,41.17896,-91.18708
Walnut,40.77875,-92.94455
Oakland,41.30915,-95.39683
Lamoni,40.62373,-93.93895
Sutherland,42.96806,-95.49617
Stanhope,42.28536,-93.79598
Fayette,42.06524,-91.79581
Mechanicsville,41.90456,-91.25443
Adair,41.50155,-94.64343
"Henderson, TX",32.15788,-94.79815
Urbandale,41.63033,-93.7365
Cantril,40.64179,-92.0672
West Burlington,40.82603,-91.16163
Boyden,43.19101,-96.00017
Manilla,41.88971,-95.23479
Breda,42.18161,-94.97849
Letts,41.32825,-91.23839
Carlisle,41.49378,-93.48759
Anthon,46.96444,-64.83208
Le Claire,41.59758,-90.3436
Walcott,41.58584,-90.77464
St Ansgar,43.37851,-92.9191
Armstrong,43.39633,-94.48026
Shell Rock,42.71007,-92.5832
"Onalaska, WI",43.88274,-91.23416
Riverside,41.47991,-91.57867
Spirit Lake,43.42262,-95.10226
Stacyville,43.43623,-92.7823
Monticello,42.23812,-91.18722
Sibley,43.404,-95.75121
Solon,41.80547,-91.49284
Mediapolis,41.00792,-91.1641
Fairfield,41.00663,-91.96505
Pomeroy,42.55107,-94.68404
New Sharon,41.46972,-92.6515
Chariton,41.01444,-93.30349
Lake Mills,43.41931,-93.5325
Keota,41.36664,-91.95493
Fredericksburg,42.96508,-92.20415
Creston,41.05925,-94.36965
Gowrie,42.28056,-94.29089
Williamsburg,41.66068,-92.00745
Huxley,41.89426,-93.60056
Atkins,41.99265,-91.86052
Sac City,42.42209,-94.98948
Garner,43.10013, -93.60268
Ossian,43.14762,-91.76434
Hull,43.18579,-96.13366
Bettendorf,41.52627,-90.50728
"St Joseph, MO",39.76819,-94.84816
Neola,41.44944,-95.61455
Westwood,40.96536,-91.62679
Lime Springs,43.44902,-92.28568
Maxwell,41.8921,-93.39966
Roland,42.16638,-93.50196
Wayland,41.15065,-91.6586
Swea City,43.38493,-94.3073
"NSioux City, SD",42.52484,-96.4876
Waterloo,42.49347,-92.34364
Jamaica,41.84505,-94.30935
"Deerfield, IL",42.16731,-87.84574
Primghar,43.08728,-95.62691
Keystone,42.00426,-92.20218
Waukon,43.26927,-91.4756
Hudson,42.40391,-92.45937
Milo,42.41982,-91.42266
Sioux City,42.49632,-96.40644
"Denver, CO",39.73845,-104.98485
Cedar Falls,42.53781,-92.4534
Granger,41.75815,-93.82434
"Lincoln, NE",40.8136,-96.70261
Northwood,43.44406,-93.21584
Burt,43.19757,-94.21962
Sheldon,43.18601,-95.845
Brooklyn,41.73358,-92.44547
Monona,43.05187,-91.38989
Nevada,42.01965,-93.45228
Jewell,42.30166,-93.67643
Shellsburg,42.09454,-91.87339
"Carthage, IL",40.41365,-91.13628
Audubon,41.71697,-94.93186
"Kirksville, MO",40.19472,-92.58205
Fonda,42.58232,-94.84609
Jefferson,42.01529,-94.3774
Earling,41.77316,-95.42237
Wellman,41.46747,-91.83785
Sloan,42.23251,-96.22844
Belmond,42.84875,-93.6024
Aplington,42.58399,-92.88033
Greene,42.89632,-92.80121
"Vermillion, SD",42.78758,-96.92678
Exira,41.59113,-94.8857
Dayton,42.26151,-94.06843
Schleswig,42.16751,-95.43092
Britt,43.09783,-93.80182
Paullina,42.9828,-95.68644
Buffalo,41.45535,-90.72335
Wilton,41.58978,-91.01693
Lynnville,41.57758,-92.78275
Blairstown,41.9064,-92.0844
Readlyn,42.70366,-92.22538
Harlan,41.64567,-95.32556
Odebolt,42.31232,-95.25059
Tama,41.96377,-92.57684
Cherokee,42.74967,-95.55127
Dysart,42.17052,-92.30267
Van Horne,42.00734,-92.08567
Greenfield,41.4114,-93.64994
Dubuque,42.50551,-90.66731
Clarion,42.73076,-93.73283
"New Brighton, MN",45.06282,-93.19817
George,43.34474,-95.99838
"Yankton, SD",42.87106,-97.39054
Lineville,40.59166,-93.52311
Elgin,42.95736,-91.63099
Clear Lake,43.13736,-93.37875
Manson,42.53131,-94.54016
Elkader,42.85457,-91.40445
Lake Park,43.45583,-95.32072
Baxter,41.82187,-93.15438
Whiting,42.12382,-96.14752
Bode,42.86306,-94.28743
Conrad,42.22453,-92.87459
Avoca,41.47657,-95.33793
Carson,41.23467,-95.41811
Council Bluffs,41.25896,-95.85436
Bondurant,41.69177,-93.46373
Carter Lake,41.28495,-95.91798
Monroe,42.09915,-91.71693
Newton,41.69558,-93.04347
Shelby,41.51711,-95.44968
Onawa,42.02673,-96.09725
Remsen,42.80839,-95.97079
Wall Lake,42.30682,-95.0524
"Silvis, IL",41.51223,-90.41563
Shenandoah,40.76599,-95.37385
Dyersville,42.4846,-91.12153
"Fridley, MN",45.08614,-93.25836
Windsor Heights,41.60041,-93.70863
"nan, NE",47.4297,-120.29649
Evansdale,42.46325,-92.27208
New London,40.92601,-91.40538
"St. Louis , MO",38.63536,-90.20099
Algona,43.06987,-94.23302
Holstein,42.4893,-95.54479
"Albert Lea, MN",43.64688,-93.3687
Dike,42.46294,-92.63186
"nan, MO",18.67774,100.99308
Iowa City,41.66124,-91.53013
Boone,42.05657,-93.87996
Treynor,41.23154,-95.60937
Ottumwa,41.02325,-92.41326
Eldora,42.36068,-93.0995
Corning,40.98808,-94.73188
Alta,42.67634,-95.30899
"Stillwater, OK",36.11017,-97.05857
Lenox,41.80166,-91.87451
Latimer,42.76349,-93.36828
Tabor,40.89281,-95.67132
"Somerset, NJ",40.49363,-74.50477
Urbana,42.22401,-91.87141
Orange City,43.00136,-96.05678
Story City,42.18586,-93.59106
Richland,41.18641,-91.99323
Osceola,41.03494,-93.7657
Afton,41.02751,-94.19761
Red Oak,41.01581,-95.23272
West Union,42.9642,-91.8082
Kingsley,42.58692,-95.96732
Fremont,41.12358,-93.72279
"Raleigh, NC",35.7813,-78.64168
Carroll,42.06565,-94.86722
Lisbon,41.92126,-91.38547
Villisca,40.9296,-94.97589
"Downers Grove, IL",41.80886,-88.01113
Centerville,40.7325,-92.87416
Lone Tree,41.48718,-91.42569
Eddyville,41.15818,-92.63019
Sergeant Bluff,42.40031,-96.36306
Bussey,41.20453,-92.88337
Birmingham,40.8761,-91.94603
Marshalltown,42.03638,-92.91273
Vinton,42.15922,-92.02791
Peterson,42.91791,-95.3438
Peosta,42.44883,-90.85041
West Liberty,41.57018,-91.26495
Burlington,40.81059,-91.10128
Griswold,41.2357,-95.13715
Riceville,43.36385,-92.55228
Guthrie Center,41.6773,-94.50232
Iowa Falls,42.51964,-93.26546
Anita,41.44515,-94.76486
Hartley,43.18482,-95.47694
"Worthington, MN",43.6188,-95.59553
Rolfe,42.81269,-94.52792
Vail,42.05959,-95.20023
"East Syracuse, NY",43.06399,-76.07107
Mason City,43.15362,-93.20104
Le Mars,42.78818,-96.17375
Winthrop,42.47303,-91.73187
Charles City,43.06642,-92.67252
"Renton, WA",47.47466,-122.20679
De Witt,41.82615,-90.53899
Johnston,41.66932,-93.69765
Williams,42.48812,-93.54711
"Springfield, IL",39.79936,-89.64362
"Toldeo, OH",41.6553,-83.53572
Keokuk,40.41352,-91.40186
Mount Pleasant,40.9656,-91.55484
"Fairmont, MN",43.65213,-94.46091
Moravia,40.89244,-92.82096
"Manitowoc, WI",44.08884,-87.65779
Edgewood,42.64357,-91.39876
Grundy Center,42.36147,-92.7683
Elma,43.24187,-92.44465
Manly,43.28402,-93.20109
Spencer,43.14137,-95.1447
Manchester,42.48397,-91.45794
Columbus Junction,41.27893,-91.36171
Donnellson,40.64545,-91.56446
Essex,40.83444,-95.30739
Toledo,41.99091,-92.58171
Mitchellville,41.66864,-93.35807
Storm Lake,42.64094,-95.20086
Epworth,42.44516,-90.9319
West Bend,42.95879,-94.44515
"Quincy, IL",39.93553,-91.38875
Clarinda,40.74215,-95.03255
Coon Rapids,41.87091,-94.67743
Hopkinton,42.34541,-91.24698
Hawarden,43.00078,-96.48794
Newell,42.60445,-95.00227
Orleans,43.38545,-92.02822
Columbus City,41.25874,-91.37504
Kalona,41.48587,-91.70107
Okoboji,43.38216,-95.12884
Elk Horn,41.59183,-95.05997
Randolph,40.87321,-95.56612
Humboldt,42.72113,-94.21455
"Galesburg, IL",40.9475,-90.37249
State Center,42.01564,-93.16494
"Tacoma, WA",47.25308,-122.44153
Maquoketa,42.06922,-90.66293
Colfax,41.6733,-93.2404
"Maryville, MO",40.3461,-94.87295
Corydon,40.75842,-93.31806
"Minneapolis, MN",44.97749,-93.26437
"Papillion, NE",41.15646,-96.04294
"Cincinnati, OH",39.1037,-84.51361
North Liberty,41.74109,-91.60763
Ida Grove,42.34512,-95.47129
Mapleton,42.16714,-95.79321
Norwalk,41.47536,-93.68043
Winfield,41.12973,-91.43791
Center Point,42.19267,-91.78274
Eldon,40.91552,-92.21753
Titonka,43.23604,-94.04137
Rockford,43.05226,-92.94288
"Greenfield, WI",42.96654,-88.00319
Correctionville,42.47723,-95.78576
"Pitcairn, PA",40.40214,-79.78028
Massena,41.25183,-94.77009
Hampton,42.74277,-93.20249
"Austin, MN",43.6704,-92.97483
Alton,42.98712,-96.01044
Forest City,43.26149,-93.63727
Sanborn,43.18604,-95.6558
Oskaloosa,41.29624,-92.64502
Elkhart,41.7914,-93.52331
Coralville,41.67268,-91.57777
Collins,41.9039,-93.30773
Atlantic,41.40401,-95.01443
Lake View,42.30682,-95.0524
Guttenberg,42.7803,-91.10047
Hiawatha,42.03703,-91.67116
Volga,42.745,-91.26431
"Bellevue, NE",41.15106,-95.90025
Fort Madison,40.63002,-91.31349
DeWitt,41.82615,-90.53899
"Milwaukee, WI",43.04107,-87.90942
Lake City,42.26735,-94.73383
Pleasantville,41.38947,-93.26706
"Overland Park, KS",38.97482,-94.6836
Laurens,42.84662,-94.84868
Marcus,42.82423,-95.79939
Bayard,41.84879,-94.56075
McGregor,43.01841,-91.18253
"Blair, NE",41.54371,-96.13615
"Columbus, OH",39.96276,-82.99629
Cedar Rapids,41.97805,-91.66986
Sidney,40.74666,-95.64689
Westside,42.07543,-95.09827
Stratford,42.26777,-93.92307
Albia,41.02622,-92.80711
Buffalo Center,43.38584,-93.94651
Winterset,41.33449,-94.01338
"Moline, IL",41.49222,-90.48927
Mt Ayr,40.71108,-94.2332
Hedrick,41.17678,-92.30785
Gladbrook,42.18418,-92.70879
Milford,43.33328,-95.15136
Bonaparte,40.69801,-91.80315
Redfield,41.59061,-94.19601
Stuart,41.50857,-94.31277
St Charles,43.04541,-92.6825
Webster City,42.46942,-93.81586
Bloomfield,40.75067,-92.41369
Akron,42.82772,-96.56082
Perry,41.83851,-94.09974
Oelwein,42.67853,-91.91199
Waukee,41.61198,-93.88563
"St Louis, MO",38.63536,-90.20099
Marble Rock,42.96509,-92.86841
Royal,43.0644,-95.28025
Bellevue,42.25871,-90.42308
Mount Vernon,41.92452,-91.42098
"Mountain View, CA",37.39008,-122.08139
Tipton,41.77,-91.12841
Clearfield,40.79818,-94.47562
Prairie City,41.59847,-93.23395
"South Sioux City, NE",42.46983,-96.41398
Riverdale,42.95153,-94.26656
Woodbine,41.73704,-95.70303
Hospers,43.07278,-95.9066
Underwood,41.38712,-95.6791
Belle Plaine,41.89704,-92.27655
"Fargo, ND",46.87696,-96.78464
Muscatine,41.42051,-91.04491
Jesup,42.4764,-92.06125
Fairbank,42.63931,-92.04735
Farragut,40.72032,-95.48102
Seymour,40.68149,-93.12113
Hubbard,42.30583,-93.30969
Farley,42.44276,-91.00618
Knoxville,41.32073,-93.10949
Lansing,43.36184,-91.21698
"Prairie DuChien, WI",43.05186,-91.14118
Charter Oak,42.06625,-95.59483
Gilbert,42.10751,-93.64874
"Rosemont, IL",41.99189,-87.86332
Cascade,42.29863,-91.01481
Clarksville,42.78471,-92.66776
Panora,41.69175,-94.36438
Pella,41.40811,-92.91644
West Branch,41.67141,-91.34662
"Peoria, IL",40.69459,-89.59036
Tiffin,41.70596,-91.66316
Lacona,41.18957,-93.38537
Keosauqua,40.72958,-91.96278
Moville,42.48882,-96.07507
"Fond du Lac, WI",43.77195,-88.43383
Postville,43.08456,-91.56832
Wellsburg,42.4341,-92.92521
"Woonsocket, RI",42.00097,-71.50547
"Boystown, NE",41.25745,-96.1316
Ruthven,43.12929,-94.89905
Lamont,42.59629,-91.64146
Fort Dodge,42.50117,-94.16939
Central City,42.20405,-91.52454
C;ove,48.5143,-53.48707
Slater,41.87787,-93.68213
Oakdale,41.70423,-91.59325
Wyoming,42.05887,-91.00566
"Dakota Dunes, SD",42.50394,-96.49581
Pocahontas,42.73541,-94.66892
Tripoli,42.8086,-92.25815
Arlington,42.48882,-96.07507
"South SiouxCity, NE",42.46983,-96.41398
Clarence,41.88695,-91.05469
"La Crosse, WI",43.80877,-91.25186
Ogden,42.03909,-94.02804
"Jefferson City, MO",38.57691,-92.17487
Ackley,42.55417,-93.05149
Clive,41.60709,-93.77495
Dumont,42.75387,-92.97608
Oxford,41.72331,-91.79063
Bancroft,43.29296,-94.21797
Mondamin,41.71038,-96.02337
"Kansas City, KS",39.1127,-94.6268
Strawberry Point,42.68212,-91.5347
Inwood,43.30725,-96.43047
Grinnell,41.74327,-92.72736
Decorah,43.30329,-91.78834
Rock Rapids,43.4274,-96.1756
Arthur,42.33393,-95.34605
Sioux Center,43.07597,-96.17547
Mt. Pleasant,40.9656,-91.55484
Schaller,42.49721,-95.28887
"Chicago, IL",41.88323,-87.6324
Morning Sun,41.08979,-91.25557
Tracy,41.26691,-92.90766
"Luverne, MN",43.65433,-96.21286
Sigourney,41.33371,-92.20511
"Stillwater, MN",45.05574,-92.81014
Farmington,40.64076,-91.74448
"Omaha, NE",41.25865,-95.93719
"Itasca, IL",41.97149,-88.01459
Clinton,41.83893,-90.19075
Preston,42.05253,-90.39633
Coin,40.65547,-95.23018
Douds,40.83918,-92.08541
Adel,41.61441,-94.01751
Grand Mound,41.82872,-90.64767
nan,13.72448,107.61028
Montezuma,41.58539,-92.52723
Sioux Rapids,42.89225,-95.15219
Estherville,43.40206,-94.83272
Parkersburg,42.57035,-92.78346
"Brandon, SD",43.59643,-96.5723
"Sioux Falls, SD",43.54731,-96.7313
"Olmsted, MN",44.01933,-92.45887
West Des Moines,41.5755,-93.71303
"Mondovi, WI",44.5678,-91.67066
Nashua,42.95443,-92.53632
Minden,41.46784,-95.53991
La Motte,42.29529,-90.62098
"Blue Earth, MN",43.63763,-94.10241
Amana,41.80166,-91.87451
Leon,40.73949,-93.74797
Dows,42.65925,-93.50107
Rockwell,42.98525,-93.19199
Marengo,41.79647,-92.07434
Polk City,41.77184,-93.71381
Durant,41.6003,-90.90854
Ames,42.0268,-93.62018
Indianola,41.35826,-93.55834
Glenwood,41.04638,-95.74179
Casey,41.50547,-94.52089
Calmar,43.18271,-91.86462
Melcher-Dallas,41.22369,-93.24182
Dunlap,41.85433,-95.60052
Traer,42.19338,-92.46544
Eagle Grove,42.66408,-93.9045
"Columbia, MO",38.95155,-92.32859
Fontanelle,41.28968,-94.56614
Murray,41.03789,-93.95366
Janesville,42.64953,-92.46297
Glidden,42.05679,-94.72593
Ankeny,41.72508,-93.60041
Moulton,40.68691,-92.67718
"Canton, SD",43.30086,-96.59272
"Bloomington, IL",40.47709,-88.99322
"Sunrise, FL",26.16921,-80.29371
Rock Valley,43.19997,-96.29801
Earlham,41.49616,-94.12915
Rockwell City,42.39582,-94.63349
Sheffield,42.89329,-93.2153
Coggon,42.28021,-91.53065
Pisgah,41.83151,-95.92613
Wheatland,41.82981,-90.843
"Plymouth, MN",45.01827,-93.47389
"Flandreau, SD",44.04845,-96.5934
New Hampton,43.05939,-92.30866
Graettinger,43.23777,-94.75071
Pleasant Hill,41.59003,-93.52021
Allison,42.74468,-92.79514
"Troy, MI",42.56294,-83.15404
"Waco, TX",31.55682,-97.13002
Des Moines,41.58882,-93.62031
Independence,42.46763,-91.89175
Van Meter,41.53123,-93.95099
Humeston,40.85782,-93.49946
Sully,41.58111,-92.84608
Manning,41.90664,-95.06379
Osage,43.28414,-92.81116
Zearing,42.1611,-93.30114
"Green Bay, WI",44.51329,-88.01326
Eldridge,41.65467,-90.583
Denison,42.01239,-95.34811
North English,41.51247,-92.07644
"Rapid City, SD",44.08305,-103.22444
West Point,40.71663,-91.44973
Clermont,43.00128,-91.65479
"Earth City, MO",38.78578,-90.47381
Clemons,42.11496,-93.15623
Sumner,42.84748,-92.09782
"Brentwood, TN",35.99555,-86.77889
"Boca Raton, FL",26.35057,-80.08991
Missouri Valley,41.55741,-95.89469
"Norfolk, NE",42.0321,-97.41187
Dexter,41.51818,-94.23279
"Saint Joseph, MO",39.76819,-94.84816
Washington,41.29647,-91.69172
Dallas Center,41.68731,-93.96118
Milton,40.66709,-92.1546
Victor,31.50932,-107.60927
"Novi, MI",42.46659,-83.4747
"Prairie du Chien, WI",43.05186,-91.14118
Davenport,41.52353,-90.57704
Cresco,43.37116,-92.12017
"Mitchell, SD",43.70942,-98.02963
Aurelia,42.71247,-95.4382
La Porte City,42.31479,-92.19203
Mt Pleasant,40.9656,-91.55484
Woodward,41.85573,-93.92205
Anamosa,42.10824,-91.28551
Meservey,42.91663,-93.47817
Stockport,40.85729,-91.83473
Wesley,43.08819,-93.99007
Altoona,41.64404,-93.46461
Blue Grass,41.51121,-90.7657
"Beresford, SD",43.08059,-96.77257
Mount Ayr,40.71108,-94.2332
Madrid,41.87685,-93.81915
"Rock Island, IL",41.47235,-90.58357
Larchwood,43.45292,-96.4371
Reinbeck,42.32569,-92.59923
Camanche,41.7865,-90.2588
Ireton,42.97472,-96.31829
Waverly,42.72571,-92.47565
Emmetsburg,43.1129,-94.68144
"Columbus, NE",41.43027,-97.35944
"Dodgeville, WI",42.96377,-90.12856
"Morgantown, WV",39.62981,-79.95595
Logan,41.64303,-95.78917
Hamburg,40.60379,-95.65509
Colesburg,42.63941,-91.2019
Malvern,41.00437,-95.58515
Hawkeye,42.93755,-91.9534
Denver,42.67135,-92.33725
Kanawha,42.93775,-93.79319
Lowden,41.85961,-90.92675
"Rochester, MN",44.01933,-92.45887
Garnavillo,42.86687,-91.23496
